key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceBlockLouvain,sourceBlockIntraMax,sourceBlockAn,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetBlockLouvain,targetBlockIntraMax,targetBlockAn,targetMeanAmbiguityScore
100-2,2,100,1.2331061468031983,0.002748994476982751,1,0,0,0.002748994476982751,,,United States of America,,0,3,NAM,0,,,Colombia (New Granada) (Gran Colombia),,0,4,LA,0
100-230,100,230,2.3562534283931327,0.0005847966698855833,1,0,0,0.0005847966698855833,,,Colombia (New Granada) (Gran Colombia),,0,4,LA,0,,,Spain,,0,5,EESU,0
101-2,2,101,1.7182494560839117,0.0011119385828282859,1,0,0,0.0011119385828282859,,,United States of America,,0,3,NAM,0,,,Venezuela,,0,4,LA,0
101-5,5,101,4.696280580635128,0.0013162938454550621,1,0,0,0.0013162938454550621,,,Virgin Islands (Danish West Indies),,0,1,WE,0,,,Venezuela,,0,4,LA,0
101-68,68,101,0.6622393063772833,0.00016730528332646567,0,1,0,0.00016730528332646567,,,Netherlands Antilles,,3,4,LA,0,,,Venezuela,,0,4,LA,0
1023-561,561,1023,5.446246528803756,0.000018580288548133797,1,0,0,0.000018580288548133797,,,Cape Colony (Cape of Good Hope),,6,1,WE,0,,,New Brunswick,,6,,NAM,0
1029-220,220,1029,1.8920060446990061,0.002227390796208337,1,0,0,0.002227390796208337,,,France,,1,1,WE,0.020645161290322584,,,St. Pierre and Miquelon,,1,4,LA,0
1055-200,200,1055,1.141148306056207,0.000917674869331391,1,0,0,0.000917674869331391,,,United Kingdom,,0,2,WE,0,,,Windward Is.,,0,2,LA,0
1064-2,2,1064,1.476035651724969,0.000051796885766031496,1,0,0,0.000051796885766031496,,,United States of America,,0,3,NAM,0,,,St. Barthelemy,,0,3,NAM,0
110-2,2,110,1.4760356517249689,0.000009250034339640797,1,0,0,0.000009250034339640797,,,United States of America,,0,3,NAM,0,,,Guyana (British Guiana),,0,3,NAM,0
120-220,120,220,1.8919246620649572,0.000596062325745893,1,0,0,0.000596062325745893,,,French Guiana,,1,4,LA,0,,,France,,1,1,WE,0.020645161290322584
135-2,2,135,1.263799416369811,0.0018488132084476913,0,1,0,0.0018488132084476913,,,United States of America,,0,3,NAM,0,,,Peru,,5,1,WE,0
135-324,135,324,1.4595209273461622,0.0002802747799059899,1,0,0,0.0002802747799059899,,,Peru,,5,1,WE,0,,,Kingdom of Sardinia,,5,1,LA,0.039999999999999994
140-160,140,160,1.7043506169290468,0.0016383471302255472|0.0001725443574527585,1,0,0,0.0016383471302255472,,,Brazil,,4,6,LA,0,,,Argentina (La Plata),,4,2,LA,0
140-165,140,165,3.906757715419988,0.0001850930379947773|0.0010722220089127966,1,0,0,0.0010722220089127966,,,Brazil,,4,6,LA,0,,,Uruguay,,4,2,LA,0
140-2,2,140,1.3751556902355973,0.009216086134970524|0.0048688880503032946,0,1,0,0.009216086134970524,,,United States of America,,0,3,NAM,0,,,Brazil,,4,6,LA,0
140-200,140,200,0.12495063509629195,0.00706176997502108,0,1,0,0.00706176997502108,,,Brazil,,4,6,LA,0,,,United Kingdom,,0,2,WE,0
