key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,sourceCommunityId,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceCommunity,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetCommunity,targetMeanAmbiguityScore
220-615,615,220,20.315274017280668,98193.24430479182|1681539.6700706992,0,1,0,bridge,1681539.6700706992,1,1,Algeria (Regency of Algiers),Colony of,1,0.16125000000000003,1,1,France,Sovereign,0,0.28549019607843135
200-220,200,220,17.901966364791864,4406912.804399057,0,1,0,bridge,4406912.804399057,1,1,United Kingdom,Sovereign,2,0.020370370370370372,1,1,France,Sovereign,0,0.28549019607843135
220-300,300,220,17.95111342005429,314218.38177533384|185992.12006015328,0,1,0,bridge,314218.38177533384,1,,Austria-Hungary (Austrian Empire),Sovereign,1,0.14200000000000007,1,1,France,Sovereign,0,0.28549019607843135
211-220,211,220,19.904808944667035,3468185.388845247|1498153.9670070698,0.65,0.35,0.9099999999999999,3,3468185.388845247,1,1,Belgium,Sovereign,3,0.5455555555555555,1,1,France,Sovereign,0,0.28549019607843135
140-220,140,220,18.767042512538744,333857.0306362922|128201.0997643362,0,1,0,bridge,333857.0306362922,1,,Brazil,Sovereign,3,0.3689473684210527,1,1,France,Sovereign,0,0.28549019607843135
155-220,155,220,19.000362794195667,153181.46111547525,0.25,0.75,0.75,bridge,153181.46111547525,1,,Chile,Sovereign,4,0.375,1,1,France,Sovereign,0,0.28549019607843135
220-390,390,220,18.04491660626241,117831.8931657502,0,1,0,bridge,117831.8931657502,1,,Denmark,Sovereign,3,0.3299999999999999,1,1,France,Sovereign,0,0.28549019607843135
220-329,329,220,19.029892074490757,652003.1421838178,0,1,0,bridge,652003.1421838178,1,,Two Sicilies,Sovereign,1,0.0863636363636364,1,1,France,Sovereign,0,0.28549019607843135
220-651,651,220,18.91466502888878,31421.838177533384|293519.24587588373,0,1,0,bridge,293519.24587588373,1,,Egypt Arab Republic (Egypt),Sovereign (unrecognized),1,0.0316666666666667,1,1,France,Sovereign,0,0.28549019607843135
220-230,230,220,19.502672849640593,1213668.499607227,0,1,0,bridge,1213668.499607227,1,,Spain,Sovereign,3,0.279375,1,1,France,Sovereign,0,0.28549019607843135
220-324,324,220,19.84049766117243,2336999.2144540455,0,1,0,bridge,2336999.2144540455,1,,Kingdom of Sardinia,Sovereign,1,0.1036363636363637,1,1,France,Sovereign,0,0.28549019607843135
2-220,2,220,19.63663795603077,5302435.192458759|3565753.839043758,0,1,0,bridge,5302435.192458759,1,1,United States of America,Sovereign,2,0.07481481481481482,1,1,France,Sovereign,0,0.28549019607843135
220-350,350,220,16.253861469304788,7855.459544383346,0,1,0,bridge,7855.459544383346,1,,Greece,Sovereign,1,0.07125000000000006,1,1,France,Sovereign,0,0.28549019607843135
220-65,65,220,20.883553903110172,695208.1696779261|596933.3857030636,1,0,0,0,695208.1696779261,1,1,Guadeloupe,Colony of,0,0,1,1,France,Sovereign,0,0.28549019607843135
220-90,90,220,19.944515430907373,7855.459544383346,0.9,0.09999999999999998,0.35999999999999993,0,7855.459544383346,1,,Guatemala,Sovereign,0,0.5549999999999999,1,1,France,Sovereign,0,0.28549019607843135
220-41,41,220,19.008827908749904,223880.59701492536,0.5,0.5,1,bridge,223880.59701492536,1,,Haiti,Sovereign (unrecognized),0,0.6174999999999999,1,1,France,Sovereign,0,0.28549019607843135
220-240,240,220,13.70048060072865,3927.729772191673,0.3,0.7,0.84,bridge,3927.729772191673,1,,Hanover,Sovereign,3,0.5525,1,1,France,Sovereign,0,0.28549019607843135
220-585,585,220,20.883553903110172,828750.981932443|650048.6252945797,0.1,0.9,0.36000000000000004,bridge,828750.981932443,1,1,Reunion (Bourbon I.),Colony of,4,0.35999999999999993,1,1,France,Sovereign,0,0.28549019607843135
