key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,sourceCommunityId,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceCommunity,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetCommunity,targetMeanAmbiguityScore
66->220,66,220,2.3798632630531498,0.0010844048396974997,0,1,0,bridge,0.0010844048396974997,1,1,Martinique,Colony of,4,0.11777777777777779,1,1,France,Sovereign,1,0.13516483516483518
65->220,65,220,2.3798632630531498,0.0008916064044648662,0.05,0.95,0.19,bridge,0.0008916064044648662,1,1,Guadeloupe,Colony of,4,0.18777777777777782,1,1,France,Sovereign,1,0.13516483516483518
120->220,120,220,2.3798632630531493,0.00012123141202494265,1,0,0,1,0.00012123141202494265,1,1,French Guiana,Colony of,1,0.07857142857142858,1,1,France,Sovereign,1,0.13516483516483518
585->220,585,220,2.3798632630531498,0.001500103793840972,1,0,0,1,0.001500103793840972,1,1,Reunion (Bourbon I.),Colony of,1,0,1,1,France,Sovereign,1,0.13516483516483518
1029->220,1029,220,2.3798632630531498,0.000266450567590186,1,0,0,1,0.000266450567590186,1,1,St. Pierre and Miquelon,Colony of,1,0.038000000000000034,1,1,France,Sovereign,1,0.13516483516483518
751->220,751,220,2.3798632630531493,0.0005164672452976312,0,1,0,bridge,0.0005164672452976312,1,1,French India,Colony of,5,0.12799999999999997,1,1,France,Sovereign,1,0.13516483516483518
325->615,325,615,0,0.00009816798289387862,0.9,0.09999999999999998,0.35999999999999993,1,0.00009816798289387862,1,1,Italy,Sovereign,1,0.24543859649122798,1,1,Algeria (Regency of Algiers),Colony of,1,0.25120000000000003
325->300,325,300,2.6067187685580695,0.007025560452959416,0.85,0.15000000000000002,0.51,1,0.007025560452959416,1,1,Italy,Sovereign,1,0.24543859649122798,1,,Austria-Hungary (Austrian Empire),Sovereign,1,0.27
325->211,325,211,0,0.00010076182970495006,0,1,0,bridge,0.00010076182970495006,1,1,Italy,Sovereign,1,0.24543859649122798,1,1,Belgium,Sovereign,3,0.034333333333333334
325->140,325,140,0,0.00017662691979085694,0.85,0.15000000000000002,0.51,1,0.00017662691979085694,1,1,Italy,Sovereign,1,0.24543859649122798,1,,Brazil,Sovereign,1,0.08615384615384616
325->651,325,651,0,0.00014693580935150522,0.85,0.15000000000000002,0.51,1,0.00014693580935150522,1,1,Italy,Sovereign,1,0.24543859649122798,1,,Egypt Arab Republic (Egypt),Sovereign,1,0.24000000000000002
325->220,325,220,1.4506662964747374,0.015786229270090223,0.9,0.09999999999999998,0.35999999999999993,1,0.015786229270090223,1,1,Italy,Sovereign,1,0.24543859649122798,1,1,France,Sovereign,1,0.13516483516483518
325->350,325,350,1.243675292102483,0.00036464821406766433,0.85,0.15000000000000002,0.51,1,0.00036464821406766433,1,1,Italy,Sovereign,1,0.24543859649122798,1,,Greece,Sovereign,1,0.2826315789473684
325->200,325,200,0,0.004442155460468497,0,1,0,bridge,0.004442155460468497,1,1,Italy,Sovereign,1,0.24543859649122798,1,1,United Kingdom,Sovereign,0,0.14032894736842105
325->600,325,600,0,0.0000012300439658618075,0.9,0.09999999999999998,0.35999999999999993,1,0.0000012300439658618075,1,1,Italy,Sovereign,1,0.24543859649122798,1,,Morocco,Sovereign,1,0.09250000000000003
325->210,325,210,0,0.0006152816588792523,0,1,0,bridge,0.0006152816588792523,1,1,Italy,Sovereign,1,0.24543859649122798,1,1,Netherlands,Sovereign,3,0.031481481481481485
325->235,325,235,0,0.000058783386632846015,0.85,0.15000000000000002,0.51,1,0.000058783386632846015,1,1,Italy,Sovereign,1,0.24543859649122798,1,1,Portugal,Sovereign,1,0.09781250000000002
325->365,325,365,0.23944261393264024,0.000613430319482182,0.1,0.9,0.36000000000000004,bridge,0.000613430319482182,1,1,Italy,Sovereign,1,0.24543859649122798,1,1,Russia (USSR),Sovereign,2,0.3294736842105263
325->230,325,230,0,0.00033028282453217566,0.85,0.15000000000000002,0.51,1,0.00033028282453217566,1,1,Italy,Sovereign,1,0.24543859649122798,1,1,Spain,Sovereign,1,0.1371875
325->2,325,2,0,0.0011760681130880669,0,1,0,bridge,0.0011760681130880669,1,1,Italy,Sovereign,1,0.24543859649122798,1,1,United States of America,Sovereign,0,0.17357894736842103
325->225,325,225,1.946422973648165,0.005890171563007743,1,0,0,1,0.005890171563007743,1,1,Italy,Sovereign,1,0.24543859649122798,1,,Switzerland,Sovereign,1,0.08999999999999998
