key,source,target,TIBI,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceBlockLouvainTibi,sourceBlockLouvainProximity,sourceBlockIntraMax,sourceBlockAn,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetBlockLouvainTibi,targetBlockLouvainProximity,targetBlockIntraMax,targetBlockAn,targetMeanAmbiguityScore
10-200,10,200,0.9851425692626443,1.2620092254678639,565,1,0,0,565,,,Greenland,,0,0,2,WE,0.32000000000000006,,,United Kingdom,,0,0,1,AF,0.29186813186813193
10-230,10,230,-0.09490146096899223,-0.1863786083217448,11,0.2,0.8,0.6400000000000001,11,,,Greenland,,0,0,2,WE,0.32000000000000006,,,Spain,,3,2,2,WE,0.3887179487179488
100-155,100,155,0.5111863322298762,1.120333609314151,1614.3815915627997,0.5,0.5,1,1614.3815915627997,,,Colombia (New Granada) (Gran Colombia),,0,3,2,WE,0.772,,,Chile,,0,3,3,LA,0.29
100-2,2,100,0.4994295128471881,0.8840778870527723,200806.6451506124,0.6,0.4,0.96,200806.6451506124,,,United States of America,,0,3,3,NAM,0.26147540983606554,,,Colombia (New Granada) (Gran Colombia),,0,3,2,WE,0.772
100-200,100,200,0.3881510167765916,0.5157866677116645,330810,0.55,0.44999999999999996,0.99,330810,,,Colombia (New Granada) (Gran Colombia),,0,3,2,WE,0.772,,,United Kingdom,,0,0,1,AF,0.29186813186813193
100-220,100,220,0.22081382015011433,0.3528395109612271,177823.44108116653,0.35,0.65,0.9099999999999999,177823.44108116653,,,Colombia (New Granada) (Gran Colombia),,0,3,2,WE,0.772,,,France,,2,2,2,WE,0.3638888888888888
100-230,100,230,-0.9749521997726686,-4.341226391938739,213.09621710526315,0,1,0,213.09621710526315,,,Colombia (New Granada) (Gran Colombia),,0,3,2,WE,0.772,,,Spain,,3,2,2,WE,0.3887179487179488
101-2,2,101,0.37798521721262873,0.7497394956042138,259029.47917489923|140363.70407149952,0.15,0.85,0.51,259029.47917489923,,,United States of America,,0,3,3,NAM,0.26147540983606554,,,Venezuela,,4,2,4,WE,0.689
101-200,101,200,0.33501750835389993,0.45218629857643267,138425.66980162807|301094,0.2,0.8,0.6400000000000001,301094,,,Venezuela,,4,2,4,WE,0.689,,,United Kingdom,,0,0,1,AF,0.29186813186813193
101-210,101,210,0.362541177385309,0.7666302664113642,71722.1212360705,0.15,0.85,0.51,71722.1212360705,,,Venezuela,,4,2,4,WE,0.689,,,Netherlands,,1,4,5,WE,0.33424242424242423
101-211,101,211,-0.8786662075089599,-2.69652435413446,1745,0,1,0,1745,,,Venezuela,,4,2,4,WE,0.689,,,Belgium,,2,4,5,WE,0.3453488372093024
101-220,101,220,0.15556526192886472,0.4759739463637064,99581.12700545325|106694.0646486999,0.25,0.75,0.75,106694.0646486999,,,Venezuela,,4,2,4,WE,0.689,,,France,,2,2,2,WE,0.3638888888888888
101-230,101,230,0.8422204104234171,2.205728987896428,29591.395970394737|217339.76132142573,0.6,0.4,0.96,217339.76132142573,,,Venezuela,,4,2,4,WE,0.689,,,Spain,,3,2,2,WE,0.3887179487179488
101-246,101,246,0.4083270456237331,0.8512487569757576,16251,0.4,0.6,0.96,16251,,,Venezuela,,4,2,4,WE,0.689,,,Bremen,,0,0,5,WE,0.4113333333333334
101-248,101,248,0.7392924795888843,1.7408450479941628,110398.52398523985|90362,0.8,0.19999999999999996,0.6399999999999999,110398.52398523985,,,Venezuela,,4,2,4,WE,0.689,,,Hamburg,,4,3,5,WE,0.4640816326530612
101-276,101,276,0.40218146694474494,0.8432763835300277,5691,0.4,0.6,0.96,5691,,,Venezuela,,4,2,4,WE,0.689,,,Lübeck,,4,4,5,WE,0.6514285714285715
101-390,101,390,0.6532627535310522,1.527038938746114,33588.872204220344,0.4,0.6,0.96,33588.872204220344,,,Venezuela,,4,2,4,WE,0.689,,,Denmark,,4,4,5,WE,0.5042857142857143
1019-200,200,1019,,1.2812911550173143,102225,1,0,0,102225,,,United Kingdom,,0,0,1,AF,0.29186813186813193,,,Rupert's Land,,0,0,1,WE,0
1022-1063,1022,1063,-0.9487406016364724,-3.635621162878644,8.394682399816105,0,1,0,8.394682399816105,,,Nova Scotia,,0,6,1,WE,0.28,,,Leeward Is.,,6,0,1,NAM,0.27999999999999997
1022-200,200,1022,0.9966354436909115,1.2768934774690925,328177,0.7,0.30000000000000004,0.8400000000000001,328177,,,United Kingdom,,0,0,1,AF,0.29186813186813193,,,Nova Scotia,,0,6,1,WE,0.28
1022-248,248,1022,-0.7367878891323364,-1.8614218664947964,1438,0,1,0,1438,,,Hamburg,,4,3,5,WE,0.4640816326530612,,,Nova Scotia,,0,6,1,WE,0.28
1023-200,200,1023,0.9876749107313672,1.2651818340449172,411151,1,0,0,411151,,,United Kingdom,,0,0,1,AF,0.29186813186813193,,,New Brunswick,,0,0,1,WE,0
1023-248,248,1023,-0.2804464885906379,-0.5631254309780609,6677,0,1,0,6677,,,Hamburg,,4,3,5,WE,0.4640816326530612,,,New Brunswick,,0,0,1,WE,0
1024-200,200,1024,0.9879700769632724,1.2656579307603602,56867,1,0,0,56867,,,United Kingdom,,0,0,1,AF,0.29186813186813193,,,Prince Edward Is.,,0,0,1,WE,0
1024-248,248,1024,-0.2939833150157641,-0.5928876495662531,896,0,1,0,896,,,Hamburg,,4,3,5,WE,0.4640816326530612,,,Prince Edward Is.,,0,0,1,WE,0
1029-2,2,1029,-0.9601120470997717,-3.7723743861801755,520.7298907646475,0,1,0,520.7298907646475,,,United States of America,,0,3,3,NAM,0.26147540983606554,,,St. Pierre and Miquelon,,2,2,2,WE,0
1029-220,220,1029,0.9988601665419753,1.7364113422152228,193629.9691772702,1,0,0,193629.9691772702,,,France,,2,2,2,WE,0.3638888888888888,,,St. Pierre and Miquelon,,2,2,2,WE,0
1055-200,200,1055,,1.3182376323364429,40457,1,0,0,40457,,,United Kingdom,,0,0,1,AF,0.29186813186813193,,,Windward Is.,,0,0,1,LA,0
1063-2,2,1063,-0.9933773649911477,-5.421446378598023,122,0,1,0,122,,,United States of America,,0,3,3,NAM,0.26147540983606554,,,Leeward Is.,,6,0,1,NAM,0.27999999999999997
1063-200,200,1063,0.9992721269065298,1.3176169629751677,210022,0.3,0.7,0.84,210022,,,United Kingdom,,0,0,1,AF,0.29186813186813193,,,Leeward Is.,,6,0,1,NAM,0.27999999999999997
1064-2,2,1064,,2.148784086147575,20311.155246607086,1,0,0,20311.155246607086,,,United States of America,,0,3,3,NAM,0.26147540983606554,,,St. Barthelemy,,0,3,3,LA,0
110-2,2,110,,2.1487840861475744,104016.88182720954,1,0,0,104016.88182720954,,,United States of America,,0,3,3,NAM,0.26147540983606554,,,Guyana (British Guiana),,0,3,3,LA,0
115-2,2,115,0.15010982044740312,0.26195885487731196,20070.754716981133,0,1,0,20070.754716981133,,,United States of America,,0,3,3,NAM,0.26147540983606554,,,Surinam (Dutch Guiana),,1,4,4,LA,0.06333333333333334
115-200,115,200,-0.8096016683031213,-1.9654128537863582,5152,0.05,0.95,0.19,5152,,,Surinam (Dutch Guiana),,1,4,4,LA,0.06333333333333334,,,United Kingdom,,0,0,1,AF,0.29186813186813193
115-210,115,210,0.9746773246309379,2.7423079652312605,107211.8530884808,1,0,0,107211.8530884808,,,Surinam (Dutch Guiana),,1,4,4,LA,0.06333333333333334,,,Netherlands,,1,4,5,WE,0.33424242424242423
1163-200,200,1163,,1.2812911550173143,1145,1,0,0,1145,,,United Kingdom,,0,0,1,AF,0.29186813186813193,,,Falkland Is.,,0,0,1,WE,0
