key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,sourceCommunityId,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceCommunity,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetCommunity,targetMeanAmbiguityScore
20-200,200,20,0.6677632799123426,0.007291961912223833|0.009975545369024195,0,1,0,bridge,0.009975545369024195,1,1,United Kingdom,Sovereign,1,0.017,1,1,Canada (Province of Canada),Colony of,0,0.48000000000000004
2-20,2,20,1.5832960939635763,0.009454778806022288|0.004449153141765142,0.3,0.7,0.84,bridge,0.009454778806022288,1,1,United States of America,Sovereign,2,0.1447058823529412,1,1,Canada (Province of Canada),Colony of,0,0.48000000000000004
20-4,4,20,0.17580238684340893,0.000010062043247464022,0.3,0.7,0.84,bridge,0.000010062043247464022,1,,Hawaii (Sandwich Is.),Sovereign (limited),2,0.42,1,1,Canada (Province of Canada),Colony of,0,0.48000000000000004
20-21,21,20,3.0236794193555103,0.00011823513512296145|0.00039637075233330275,1,0,0,0,0.00039637075233330275,1,1,Newfoundland and Labrador (Newfoundland),Colony of,0,0.31500000000000006,1,1,Canada (Province of Canada),Colony of,0,0.48000000000000004
210-211,211,210,1.514191216436469,0.007857915542561603|0.006919613834219796,0,1,0,bridge,0.007857915542561603,1,1,Belgium,Sovereign,3,0.16714285714285712,1,1,Netherlands,Sovereign,5,0
200-210,200,210,0.5324610724310215,0.015167199715047573|0.01771172774680875,0,1,0,bridge,0.01771172774680875,1,1,United Kingdom,Sovereign,1,0.017,1,1,Netherlands,Sovereign,5,0
115-210,115,210,1.0841100332732205,0.0000791692954734596,1,0,0,5,0.0000791692954734596,1,,Surinam (Dutch Guiana),Colony of,5,0,1,1,Netherlands,Sovereign,5,0
210-385,385,210,0.5646277550500698,0.000544863281381013|0.00038525078434213243,0,1,0,bridge,0.000544863281381013,1,1,Norway,Sovereign (limited),4,0,1,1,Netherlands,Sovereign,5,0
210-365,365,210,0.7034860488613044,0.004169939510727533|0.0006228837429615322,0,1,0,bridge,0.004169939510727533,1,1,Russia (USSR),Sovereign,4,0,1,1,Netherlands,Sovereign,5,0
210-380,380,210,0.3064759549622363,0.00033923817347889483|0.0005929144176850367,0,1,0,bridge,0.0005929144176850367,1,1,Sweden,Sovereign,4,0,1,1,Netherlands,Sovereign,5,0
380-385,385,380,2.1697275463151082,0.0007302761097894385|0.0006522511371997749,1,0,0,4,0.0007302761097894385,1,1,Norway,Sovereign (limited),4,0,1,1,Sweden,Sovereign,4,0
365-380,365,380,1.0150752872085664,0.001533079977093866|0.0001473250885010505,1,0,0,4,0.001533079977093866,1,1,Russia (USSR),Sovereign,4,0,1,1,Sweden,Sovereign,4,0
380-390,390,380,3.1703104416028256,0.0024220350590681257|0.0011961873804009237,1,0,0,4,0.0024220350590681257,1,1,Denmark,Sovereign,4,0,1,1,Sweden,Sovereign,4,0
211-380,211,380,0.14208150797752866,0.0004586400557991783|0.0007664823603430633,0,1,0,bridge,0.0007664823603430633,1,1,Belgium,Sovereign,3,0.16714285714285712,1,1,Sweden,Sovereign,4,0
200-380,200,380,0.4336468108895653,0.004277226488963359|0.007009167209940539,0,1,0,bridge,0.007009167209940539,1,1,United Kingdom,Sovereign,1,0.017,1,1,Sweden,Sovereign,4,0
220-380,220,380,0.15669791953925677,0.00045511167840655713|0.0019752554819018548,0,1,0,bridge,0.0019752554819018548,1,1,France,Sovereign,3,0.16540540540540535,1,1,Sweden,Sovereign,4,0
235-380,235,380,0.8609535745234278,0.00005851225842763317|0.00019352898405616522,0,1,0,bridge,0.00019352898405616522,1,1,Portugal,Sovereign,7,0.060000000000000005,1,1,Sweden,Sovereign,4,0
230-380,230,380,0.6319737101358788,0.000060227441882379535|0.00046895279018819517,0,1,0,bridge,0.00046895279018819517,1,1,Spain,Sovereign,6,0.044347826086956525,1,1,Sweden,Sovereign,4,0
