key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceBlockLouvain,sourceBlockIntraMax,sourceBlockAn,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetBlockLouvain,targetBlockIntraMax,targetBlockAn,targetMeanAmbiguityScore
501-625,501,625,1.6506218847454388,0.0000016525675115142505|0.000008262837557571253,1,0,0,0.000008262837557571253,,,Kenya (British East Africa Protectorate),,0,5,AS,0.24846153846153857,,,Sudan (Anglo-Egyptian Sudan) (Mahdist State),,0,5,AF,0.18478260869565216
310-625,310,625,0.6933446818796841,0.000006610270046057031,0,1,0,0.000006610270046057031,,,Hungary,,1,5,AF,0.06235294117647059,,,Sudan (Anglo-Egyptian Sudan) (Mahdist State),,0,5,AF,0.18478260869565216
500-625,500,625,2.1695435635754494,0.0000016525675115142505|0.0000280936476957423,1,0,0,0.0000280936476957423,,,Uganda,,0,5,AF,0.2846153846153847,,,Sudan (Anglo-Egyptian Sudan) (Mahdist State),,0,5,AF,0.18478260869565216
615-960,615,960,1.301074870070199,0.000009915405069085524,0.65,0.35,0.9099999999999999,0.000009915405069085524,,,Algeria (Regency of Algiers),,3,2,AF,0.1011111111111111,,,French Polynesia,,3,1,WE,0.55
265-380,265,380,1.6264291146340217,0.00029415701704953715,1,0,0,0.00029415701704953715,,,German Democratic Republic,,1,5,AS,0.06166666666666668,,,Sweden,,1,4,LA,0.15416666666666667
365-380,365,380,0.5421110329109287,0.0003734802576022211,1,0,0,0.0003734802576022211,,,Russia (USSR),,1,4,LA,0.12842105263157896,,,Sweden,,1,4,LA,0.15416666666666667
365-900,365,900,0.8332974933804438,0.0005056856585233618,0,1,0,0.0005056856585233618,,,Russia (USSR),,1,4,LA,0.12842105263157896,,,Australia,,0,5,WE,0.4752941176470588
265-390,265,390,2.4101599090042933,0.0003949636352519061,1,0,0,0.0003949636352519061,,,German Democratic Republic,,1,5,AS,0.06166666666666668,,,Denmark,,1,9,WE,0.11400000000000002
365-452,365,452,1.9911750122160907,0.00033712377234890764,0.95,0.050000000000000044,0.19000000000000017,0.00033712377234890764,,,Russia (USSR),,1,4,LA,0.12842105263157896,,,Ghana (Gold Coast),,1,5,AF,0.1055555555555556
365-390,365,390,0.8201129792109116,0.00030241985460710845,1,0,0,0.00030241985460710845,,,Russia (USSR),,1,4,LA,0.12842105263157896,,,Denmark,,1,9,WE,0.11400000000000002
230-490,230,490,0.38582269548444154,0.000024788512672713805|0.0000033051350230285056,0,1,0,0.000024788512672713805,,,Spain,,2,4,LA,0.6545833333333335,,,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State),,0,5,AF,0.08263157894736844
315-900,315,900,0.18887591966471484,0.00008593351059874107,0,1,0,0.00008593351059874107,,,Czechoslovakia,,1,9,WE,0.15476190476190477,,,Australia,,0,5,WE,0.4752941176470588
512-680,512,680,0.8613733217119026,0.000006610270046057031,0.95,0.050000000000000044,0.19000000000000017,0.000006610270046057031,,,Tanzania (Tanganyika),,0,5,AF,0.2406666666666667,,,Yemen People's Republic (South Yemen),,4,1,WE,0.33461538461538465
160-315,160,315,1.5195305947891655,0.0002197914790313955,0.15,0.85,0.51,0.0002197914790313955,,,Argentina (La Plata),,2,4,LA,0.3791999999999999,,,Czechoslovakia,,1,9,WE,0.15476190476190477
315-770,315,770,0.26073372541566686,0.000013220540092114016,0,1,0,0.000013220540092114016,,,Czechoslovakia,,1,9,WE,0.15476190476190477,,,Pakistan,,0,4,AS,0.21833333333333338
2-345,2,345,0.8844011426954584,0.004924651184312476,0,1,0,0.004924651184312476,,,United States of America,,2,4,AS,0.1266666666666667,,,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",,1,4,AS,0.04499999999999999
160-365,160,365,1.6237544664265697,0.0007535707852504975,0.15,0.85,0.51,0.0007535707852504975,,,Argentina (La Plata),,2,4,LA,0.3791999999999999,,,Russia (USSR),,1,4,LA,0.12842105263157896
325-680,325,680,0.9062967398315385,0.00010576432073691229,0.1,0.9,0.36000000000000004,0.00010576432073691229,,,Italy,,1,5,AF,0.257659574468085,,,Yemen People's Republic (South Yemen),,4,1,WE,0.33461538461538465
315-325,315,325,0.5251567687255347,0.00011898486082902598,0.9,0.09999999999999998,0.35999999999999993,0.00011898486082902598,,,Czechoslovakia,,1,9,WE,0.15476190476190477,,,Italy,,1,5,AF,0.257659574468085
130-490,130,490,0.09038363716049241,0.000004957702534542762,0,1,0,0.000004957702534542762,,,Ecuador,,2,4,LA,0.12769230769230772,,,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State),,0,5,AF,0.08263157894736844
325-345,325,345,0.742581316247586,0.00045941376820096225,0.9,0.09999999999999998,0.35999999999999993,0.00045941376820096225,,,Italy,,1,5,AF,0.257659574468085,,,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",,1,4,AS,0.04499999999999999
325-490,325,490,0.7234781643961663,0.00011237459078296937|0.00021318120898533842,0.05,0.95,0.19,0.00021318120898533842,,,Italy,,1,5,AF,0.257659574468085,,,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State),,0,5,AF,0.08263157894736844
530-680,530,680,5.43299148971815,0.0002842416119804515,1,0,0,0.0002842416119804515,,,Ethiopia (Abyssinia),,4,5,AF,0.23111111111111113,,,Yemen People's Republic (South Yemen),,4,1,WE,0.33461538461538465
265-325,265,325,0.5379849329796493,0.00009915405069085522,0.9,0.09999999999999998,0.35999999999999993,0.00009915405069085522,,,German Democratic Republic,,1,5,AS,0.06166666666666668,,,Italy,,1,5,AF,0.257659574468085
325-365,325,365,0.6812524710697828,0.0004296675529937058,0.9,0.09999999999999998,0.35999999999999993,0.0004296675529937058,,,Italy,,1,5,AF,0.257659574468085,,,Russia (USSR),,1,4,LA,0.12842105263157896
315-660,315,660,1.9007119489157198,0.000008262837557571253,0,1,0,0.000008262837557571253,,,Czechoslovakia,,1,9,WE,0.15476190476190477,,,Lebanon,,4,2,AF,0.1823809523809524
