key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,sourceCommunityId,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceCommunity,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetCommunity,targetMeanAmbiguityScore
200-561,561,200,21.51332523898326,1919784|1455660,0.15,0.85,0.51,bridge,1919784,1,1,Cape Colony (Cape of Good Hope),Colony of,0,0.3577272727272728,1,1,United Kingdom,Sovereign,0,0.1158823529411765
561-7121,561,7121,25.87167879355857,362,1,0,0,0,362,1,1,Cape Colony (Cape of Good Hope),Colony of,0,0.3577272727272728,1,,Shangai,Leased to,0,0
561-901,561,901,18.094569127223306,2047,0.35,0.65,0.9099999999999999,bridge,2047,1,1,Cape Colony (Cape of Good Hope),Colony of,0,0.3577272727272728,1,1,New South Wales,Colony of,0,0.10375
561-903,561,903,18.446601380157308,1222,0.35,0.65,0.9099999999999999,bridge,1222,1,1,Cape Colony (Cape of Good Hope),Colony of,0,0.3577272727272728,1,,South Australia,Colony of,0,0.15166666666666664
4050-561,561,4050,24.45093545187072,15949,1,0,0,0,15949,1,1,Cape Colony (Cape of Good Hope),Colony of,0,0.3577272727272728,1,1,St. Helena,Colony of,0,0.47333333333333333
4070-561,561,4070,24.67788155204683,3388,1,0,0,0,3388,1,1,Cape Colony (Cape of Good Hope),Colony of,0,0.3577272727272728,1,,Ascension I.,Possession of,0,0.255
561-590,561,590,21.825132658238974,28376,0.35,0.65,0.9099999999999999,bridge,28376,1,1,Cape Colony (Cape of Good Hope),Colony of,0,0.3577272727272728,1,1,Mauritius,Colony of,0,0.25999999999999995
511-561,561,511,25.87167879355857,555,0.7,0.30000000000000004,0.8400000000000001,0,555,1,1,Cape Colony (Cape of Good Hope),Colony of,0,0.3577272727272728,1,1,Zanzibar,Sovereign (unrecognized),0,0.57375
561-9974,561,9974,25.87167879355857,158,1,0,0,0,158,1,1,Cape Colony (Cape of Good Hope),Colony of,0,0.3577272727272728,1,,Crozet Is.,Possession of,0,0
2-561,561,2,20.47239732154141,171977,0,1,0,bridge,171977,1,1,Cape Colony (Cape of Good Hope),Colony of,0,0.3577272727272728,1,1,United States of America,Sovereign,2,0.20118644067796607
