key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,sourceCommunityId,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceCommunity,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetCommunity,targetMeanAmbiguityScore
220-615,615,220,20.894630979962418,71256.08645738491|1385178.734016864,0,1,0,bridge,1385178.734016864,1,1,Algeria (Regency of Algiers),Colony of,1,0,1,1,France,Sovereign,0,0.23235294117647057
200-220,200,220,17.997966912244557,4033886.2277819565,0,1,0,bridge,4033886.2277819565,1,1,United Kingdom,Sovereign,2,0.027826086956521744,1,1,France,Sovereign,0,0.23235294117647057
220-300,300,220,18.455047386203496,391908.475515617|81722.05882827501,0,1,0,bridge,391908.475515617,1,,Austria-Hungary (Austrian Empire),Sovereign,1,0,1,1,France,Sovereign,0,0.23235294117647057
211-220,211,220,19.988731945018216,3558845.6513993903|1718142.5913463442,0.6,0.4,0.96,0,3558845.6513993903,1,1,Belgium,Sovereign,0,0.5575675675675678,1,1,France,Sovereign,0,0.23235294117647057
140-220,140,220,18.87038839771508,316693.71758837736|860060.9635406358,0.6,0.4,0.96,0,860060.9635406358,1,,Brazil,Sovereign,0,0.45473684210526316,1,1,France,Sovereign,0,0.23235294117647057
155-220,155,220,19.05548869138147,146470.84438462454,0.6,0.4,0.96,0,146470.84438462454,1,,Chile,Sovereign,0,0.515,1,1,France,Sovereign,0,0.23235294117647057
220-390,390,220,17.05896842971952,35628.043228692455,0,1,0,bridge,35628.043228692455,1,,Denmark,Sovereign,3,0.30374999999999996,1,1,France,Sovereign,0,0.23235294117647057
220-329,329,220,19.73345911496915,554214.0057796603|693321.7212303551,0,1,0,bridge,693321.7212303551,1,1,Two Sicilies,Sovereign,1,0,1,1,France,Sovereign,0,0.23235294117647057
220-651,651,220,19.589007559499176,190016.2305530264|282332.4492300384,0,1,0,bridge,282332.4492300384,1,,Egypt Arab Republic (Egypt),Sovereign (unrecognized),1,0,1,1,France,Sovereign,0,0.23235294117647057
130-220,130,220,20.297656578826288,3958.671469854717,1,0,0,0,3958.671469854717,1,,Ecuador,Sovereign,0,0,1,1,France,Sovereign,0,0.23235294117647057
220-230,230,220,19.748965421316477,1112386.6830291755,0,1,0,bridge,1112386.6830291755,1,,Spain,Sovereign,1,0,1,1,France,Sovereign,0,0.23235294117647057
220-324,324,220,20.119670608197804,3254027.948220577,0,1,0,bridge,3254027.948220577,1,,Kingdom of Sardinia,Sovereign,1,0,1,1,France,Sovereign,0,0.23235294117647057
2-220,2,220,19.672213596591774,4809785.835873481|4966757.699012201,0,1,0,bridge,4966757.699012201,1,1,United States of America,Sovereign,2,0.07211538461538462,1,1,France,Sovereign,0,0.23235294117647057
220-350,350,220,17.299302715407062,15834.685879418868,0,1,0,bridge,15834.685879418868,1,,Greece,Sovereign,1,0,1,1,France,Sovereign,0,0.23235294117647057
220-65,65,220,20.894630979962418,625470.0922370453|687100.9461224814,1,0,0,0,687100.9461224814,1,1,Guadeloupe,Colony of,0,0,1,1,France,Sovereign,0,0.23235294117647057
220-90,90,220,20.275035135375717,27710.70028898302,1,0,0,0,27710.70028898302,1,,Guatemala,Sovereign,0,0.48,1,1,France,Sovereign,0,0.23235294117647057
220-41,41,220,18.919051173909722,205850.9164324453,0.1,0.9,0.36000000000000004,bridge,205850.9164324453,1,,Haiti,Sovereign (unrecognized),3,0.6133333333333334,1,1,France,Sovereign,0,0.23235294117647057
220-585,585,220,20.894630979962418,827362.3371996358|632544.9507145402,0.7,0.30000000000000004,0.8400000000000001,0,827362.3371996358,1,1,Reunion (Bourbon I.),Colony of,0,0.84,1,1,France,Sovereign,0,0.23235294117647057
