"target","source","key","proximity","observedTradeValues","coMembershipScore","bridgeNessEdgeScore","ambiguityScore","sourceCommunityId","maxObservedTradeValue","sourceCited","sourceReporting","sourceLabel","sourceGphStatus","sourceCommunity","sourceMeanAmbiguityScore","targetCited","targetLabel","targetGphStatus","targetCommunity","targetMeanAmbiguityScore","export","import"
"1029","200","1029-200",20.6402580980216,"54155",0,1,0,"bridge",54155,1,1,"United Kingdom","Sovereign",1,0.138541666666667,1,"St. Pierre and Miquelon","Colony of",2,0.211666666666667,54155,NA
"1029","21","1029-21",21.7836814169562,"974",1,0,0,"2",974,1,1,"Newfoundland and Labrador (Newfoundland)","Colony of",2,0.0606666666666667,1,"St. Pierre and Miquelon","Colony of",2,0.211666666666667,974,NA
"1029","220","1029-220",22.4203080949495,"190506.42959199872",0.35,0.65,0.91,"bridge",190506.429591999,1,1,"France","Sovereign",3,0.54536231884058,1,"St. Pierre and Miquelon","Colony of",2,0.211666666666667,190506.429591999,NA
"1029","230","1029-230",18.2506699052109,"606",0.9,0.1,0.36,"2",606,1,1,"Spain","Sovereign",2,0.163684210526316,1,"St. Pierre and Miquelon","Colony of",2,0.211666666666667,606,NA
"1048","1055","1048-1055",27.2748221537513,"16063.382863303294",1,0,0,"2",16063.3828633033,NA,NA,"Windward Is.","Colony of",2,0.0973333333333333,1,"Trinidad","Colony of",2,0.1875,16063.3828633033,NA
"1048","1063","1048-1063",26.5779221422293,"3424",1,0,0,"2",3424,NA,NA,"Leeward Is.","Colony of",2,0.0158333333333333,1,"Trinidad","Colony of",2,0.1875,3424,NA
"1055","1063","1055-1063",28.1346586968552,"3322",1,0,0,"2",3322,NA,NA,"Leeward Is.","Colony of",2,0.0158333333333333,NA,"Windward Is.","Colony of",2,0.0973333333333333,3322,0
"1055","30","1055-30",28.3728431631136,"664|7888.891446785904",1,0,0,"2",7888.8914467859,1,1,"Bermuda","Colony of",2,0.036,NA,"Windward Is.","Colony of",2,0.0973333333333333,664,7888.8914467859
"11","385","11-385",22.783366894573,"1066",0.95,0.05,0.19,"0",1066,1,1,"Norway","Sovereign (limited)",0,0.0586363636363637,1,"Faeroe Is.","Colony of",0,0.0950000000000001,1066,NA
"11","390","11-390",25.6062410069707,"26836.052067885976",1,0,0,"0",26836.052067886,1,1,"Denmark","Sovereign",0,0.1515,1,"Faeroe Is.","Colony of",0,0.0950000000000001,26836.052067886,NA
"110","1048","1048-110",20.7555038383724,"1622",1,0,0,"2",1622,1,1,"Trinidad","Colony of",2,0.1875,1,"Guyana (British Guiana)","Colony of",2,0.0389473684210526,1622,NA
"110","1055","1055-110",21.7299943091801,"4760",1,0,0,"2",4760,NA,NA,"Windward Is.","Colony of",2,0.0973333333333333,1,"Guyana (British Guiana)","Colony of",2,0.0389473684210526,4760,NA
"110","20","110-20",21.6262073278233,"48904.87593410677|66370.75139980011",1,0,0,"2",66370.7513998001,1,1,"Canada (Province of Canada)","Colony of",2,0.0984782608695652,1,"Guyana (British Guiana)","Colony of",2,0.0389473684210526,48904.8759341068,66370.7513998001
"110","200","110-200",22.0308357898396,"957759|1927286",0,1,0,"bridge",1927286,1,1,"United Kingdom","Sovereign",1,0.138541666666667,1,"Guyana (British Guiana)","Colony of",2,0.0389473684210526,957759,1927286
"110","210","110-210",17.4185715558805,"2484.6706883728616",0,1,0,"bridge",2484.67068837286,1,1,"Netherlands","Sovereign",0,0.0239473684210526,1,"Guyana (British Guiana)","Colony of",2,0.0389473684210526,2484.67068837286,NA
"110","255","110-255",19.2550166319905,"25119",0.05,0.95,0.19,"bridge",25119,1,1,"Germany (Zollverein)","Sovereign",0,0.258627450980392,1,"Guyana (British Guiana)","Colony of",2,0.0389473684210526,25119,NA
"110","51","110-51",20.47276751989,"1223",1,0,0,"2",1223,1,1,"Jamaica","Colony of",2,0.15875,1,"Guyana (British Guiana)","Colony of",2,0.0389473684210526,1223,NA
"110","70","110-70",18.9002945454376,"521",0.9,0.1,0.36,"2",521,1,1,"Mexico","Sovereign",2,0.1452,1,"Guyana (British Guiana)","Colony of",2,0.0389473684210526,521,NA
"110","750","110-750",19.831116262601,"29734",0,1,0,"bridge",29734,1,1,"India","Colony of",1,0.0477966101694915,1,"Guyana (British Guiana)","Colony of",2,0.0389473684210526,29734,NA
"115","1048","1048-115",17.7305278190747,"27",0.95,0.05,0.19,"2",27,1,1,"Trinidad","Colony of",2,0.1875,1,"Surinam (Dutch Guiana)","Colony of",1,0.20625,27,NA
"115","1055","1055-115",20.3704646491644,"419",0.95,0.05,0.19,"2",419,NA,NA,"Windward Is.","Colony of",2,0.0973333333333333,1,"Surinam (Dutch Guiana)","Colony of",1,0.20625,419,NA
"115","1063","1063-115",16.2800387898817,"3",0.95,0.05,0.19,"2",3,NA,NA,"Leeward Is.","Colony of",2,0.0158333333333333,1,"Surinam (Dutch Guiana)","Colony of",1,0.20625,3,NA
"115","110","110-115",21.4292086842671,"2267",0.95,0.05,0.19,"2",2267,1,1,"Guyana (British Guiana)","Colony of",2,0.0389473684210526,1,"Surinam (Dutch Guiana)","Colony of",1,0.20625,2267,NA
"115","2","115-2",21.2036450859947,"78254.08511769638",0.95,0.05,0.19,"2",78254.0851176964,1,1,"United States of America","Sovereign",2,0.11126582278481,1,"Surinam (Dutch Guiana)","Colony of",1,0.20625,78254.0851176964,NA
"115","20","115-20",18.3599072110481,"639.5276825894884",0.95,0.05,0.19,"2",639.527682589488,1,1,"Canada (Province of Canada)","Colony of",2,0.0984782608695652,1,"Surinam (Dutch Guiana)","Colony of",1,0.20625,639.527682589488,NA
"115","200","115-200",20.0957595197625,"47414",0.05,0.95,0.19,"bridge",47414,1,1,"United Kingdom","Sovereign",1,0.138541666666667,1,"Surinam (Dutch Guiana)","Colony of",1,0.20625,47414,NA
"115","210","115-210",22.4855107149713,"135162.38327410957",0,1,0,"bridge",135162.38327411,1,1,"Netherlands","Sovereign",0,0.0239473684210526,1,"Surinam (Dutch Guiana)","Colony of",1,0.20625,135162.38327411,NA
"115","230","115-230",14.1402735934726,"15",0.85,0.15,0.51,"2",15,1,1,"Spain","Sovereign",2,0.163684210526316,1,"Surinam (Dutch Guiana)","Colony of",1,0.20625,15,NA
"115","255","115-255",20.1107910338252,"20263",0,1,0,"bridge",20263,1,1,"Germany (Zollverein)","Sovereign",0,0.258627450980392,1,"Surinam (Dutch Guiana)","Colony of",1,0.20625,20263,NA
"115","70","115-70",19.7554015868648,"420",0.85,0.15,0.51,"2",420,1,1,"Mexico","Sovereign",2,0.1452,1,"Surinam (Dutch Guiana)","Colony of",1,0.20625,420,NA
"115","750","115-750",17.9731614617833,"1590",0.05,0.95,0.19,"bridge",1590,1,1,"India","Colony of",1,0.0477966101694915,1,"Surinam (Dutch Guiana)","Colony of",1,0.20625,1590,NA
"115","827","115-827",24.7433937973412,"218461",0.05,0.95,0.19,"bridge",218461,1,1,"Straits Settlements","Colony of",1,0.0366666666666667,1,"Surinam (Dutch Guiana)","Colony of",1,0.20625,218461,NA
"115","902","115-902",20.7114711327304,"201",0.05,0.95,0.19,"bridge",201,1,1,"Western Australia","Colony of",1,0.0458333333333333,1,"Surinam (Dutch Guiana)","Colony of",1,0.20625,201,NA
"115","903","115-903",20.2266667272962,"1195",0.05,0.95,0.19,"bridge",1195,1,1,"South Australia","Colony of",1,0.056875,1,"Surinam (Dutch Guiana)","Colony of",1,0.20625,1195,NA
"115","904","115-904",17.5809910669968,"257",0.05,0.95,0.19,"bridge",257,1,1,"Victoria","Colony of",1,0.0433333333333333,1,"Surinam (Dutch Guiana)","Colony of",1,0.20625,257,NA
"1163","1048","1048-1163",19.6028869185767,"11",0.9,0.1,0.36,"2",11,1,1,"Trinidad","Colony of",2,0.1875,1,"Falkland Is.","Colony of",2,0.135,11,NA
"1163","155","1163-155",21.1295724495578,"361.81791439917635",1,0,0,"2",361.817914399176,1,1,"Chile","Sovereign",2,0.115,1,"Falkland Is.","Colony of",2,0.135,361.817914399176,NA
"1163","165","1163-165",20.7872024409204,"106.45833333333334",1,0,0,"2",106.458333333333,1,1,"Uruguay","Sovereign",2,0.125454545454545,1,"Falkland Is.","Colony of",2,0.135,106.458333333333,NA
"1163","2","1163-2",17.3506203194163,"104",0.9,0.1,0.36,"2",104,1,1,"United States of America","Sovereign",2,0.11126582278481,1,"Falkland Is.","Colony of",2,0.135,104,NA
"1163","200","1163-200",22.4032269858172,"29847|76856",0,1,0,"bridge",76856,1,1,"United Kingdom","Sovereign",1,0.138541666666667,1,"Falkland Is.","Colony of",2,0.135,29847,76856
"1163","255","1163-255",19.3480465005667,"592",0.1,0.9,0.36,"bridge",592,1,1,"Germany (Zollverein)","Sovereign",0,0.258627450980392,1,"Falkland Is.","Colony of",2,0.135,592,NA
"1163","70","1163-70",18.9703541980701,"12",1,0,0,"2",12,1,1,"Mexico","Sovereign",2,0.1452,1,"Falkland Is.","Colony of",2,0.135,12,NA
"1163","750","1163-750",19.9230531908645,"700",0,1,0,"bridge",700,1,1,"India","Colony of",1,0.0477966101694915,1,"Falkland Is.","Colony of",2,0.135,700,NA
"120","1048","1048-120",16.5361793725396,"4",1,0,0,"2",4,1,1,"Trinidad","Colony of",2,0.1875,1,"French Guiana","Colony of",2,0.202222222222222,4,NA
"120","110","110-120",22.6085445421046,"3606",1,0,0,"2",3606,1,1,"Guyana (British Guiana)","Colony of",2,0.0389473684210526,1,"French Guiana","Colony of",2,0.202222222222222,3606,NA
"120","2","120-2",20.5338533002155,"19589.1363478332",1,0,0,"2",19589.1363478332,1,1,"United States of America","Sovereign",2,0.11126582278481,1,"French Guiana","Colony of",2,0.202222222222222,19589.1363478332,NA
"120","200","120-200",17.7682854406268,"2262",0,1,0,"bridge",2262,1,1,"United Kingdom","Sovereign",1,0.138541666666667,1,"French Guiana","Colony of",2,0.202222222222222,2262,NA
"120","220","120-220",22.8600685576531,"218288.61724083187",0.35,0.65,0.91,"bridge",218288.617240832,1,1,"France","Sovereign",3,0.54536231884058,1,"French Guiana","Colony of",2,0.202222222222222,218288.617240832,NA
"120","230","120-230",17.4704281725833,"205",0.9,0.1,0.36,"2",205,1,1,"Spain","Sovereign",2,0.163684210526316,1,"French Guiana","Colony of",2,0.202222222222222,205,NA
"120","255","120-255",19.0619193685585,"3472",0.05,0.95,0.19,"bridge",3472,1,1,"Germany (Zollverein)","Sovereign",0,0.258627450980392,1,"French Guiana","Colony of",2,0.202222222222222,3472,NA
"120","70","120-70",18.7070070939654,"72",0.9,0.1,0.36,"2",72,1,1,"Mexico","Sovereign",2,0.1452,1,"French Guiana","Colony of",2,0.202222222222222,72,NA
"120","750","120-750",16.9226683080212,"272",0,1,0,"bridge",272,1,1,"India","Colony of",1,0.0477966101694915,1,"French Guiana","Colony of",2,0.202222222222222,272,NA
"130","1032","1032-130",19.4611270062965,"3",1,0,0,"2",3,1,1,"Turks and Caicos Is.","Dependency of",2,0.135,1,"Ecuador","Sovereign",2,0.185454545454545,3,NA
"130","1048","1048-130",19.5298304536921,"198",0.9,0.1,0.36,"2",198,1,1,"Trinidad","Colony of",2,0.1875,1,"Ecuador","Sovereign",2,0.185454545454545,198,NA
"130","155","130-155",23.2562842485325,"58763.78879246948",1,0,0,"2",58763.7887924695,1,1,"Chile","Sovereign",2,0.115,1,"Ecuador","Sovereign",2,0.185454545454545,58763.7887924695,NA
"130","2","130-2",19.9131046569403,"26116",0.9,0.1,0.36,"2",26116,1,1,"United States of America","Sovereign",2,0.11126582278481,1,"Ecuador","Sovereign",2,0.185454545454545,26116,NA
"130","200","130-200",21.5062996964291,"235706",0,1,0,"bridge",235706,1,1,"United Kingdom","Sovereign",1,0.138541666666667,1,"Ecuador","Sovereign",2,0.185454545454545,235706,NA
"130","210","130-210",11.5767539018243,"3",0,1,0,"bridge",3,1,1,"Netherlands","Sovereign",0,0.0239473684210526,1,"Ecuador","Sovereign",2,0.185454545454545,3,NA
